"gene","Genotype.statistic","Diet.statistic","Genotype:Diet.statistic","Genotype.p.value","Diet.p.value","Genotype:Diet.p.value","Genotype.p.adj","Diet.p.adj","Genotype:Diet.p.adj"
"Tubg1",0.893503308627084,5.86278023596,0.0306716142133699,0.344541958048306,0.0154738300647874,0.860976926362621,0.527357526828746,0.0368112107450543,0.935817706617588
"Adgrv1",7.87017683402703,0.0513855697487533,0.0305561174188734,0.00503087896751051,0.82067206828936,0.861236264994261,0.0204938639043313,0.874547171971648,0.935885840484641
"Mapk1ip1l",2.44293141241342,0.0805795881866155,0.0305449369400167,0.118072397375021,0.776516654644515,0.86126139664298,0.255622454279372,0.842781953234669,0.935885840484641
"Arxes1",0.0595377403745113,0.410727332013597,0.0305613512942193,0.807230743019095,0.521608449034252,0.861224501838708,0.891185839492424,0.637762601044705,0.935885840484641
"Ebag9",1.44568076464308,0.394307168402179,0.0304635971172115,0.229237548667438,0.530051707572022,0.861444376379465,0.407081191684137,0.644766781011654,0.936021510987755
"Mphosph6",9.93698338545368,8.84008872338369,0.0304297263804287,0.00162247434316854,0.00295061661721133,0.861520645248009,0.0077688683758677,0.00846344484983151,0.936041221943775
"Lingo1",3.00057710591515,1.69978495652249,0.0302397782833692,0.0832514032915491,0.192332201697328,0.861949176055563,0.198371906955285,0.30501530864015,0.936443636622773
"Grhl1",32.1274036606307,3.08069162081912,0.0301972489187533,1.46520959093654e-08,0.0792432533124398,0.86204531390455,2.00422888882739e-07,0.148758930763607,0.936484901153948
"Npy",0.56539689584737,1.2465519927555,0.0300669112460166,0.45210338044682,0.264226441441629,0.862340378065627,0.627442966072149,0.391263205027715,0.936679062933612
"Eaf2",4.09460966466408,2.13989243054706,0.0300818789445942,0.0430344015555054,0.143528812681224,0.862306460091358,0.119500425633437,0.242065822225152,0.936679062933612
"Adh5",28.8767130092889,10.8955668137053,0.0299745780913341,7.80607951356146e-08,0.00096575695823698,0.862549804765892,9.55903409938252e-07,0.00305352136235816,0.936716988544993
"Zfp800",0.409311054476334,12.8355242220801,0.0300202983029661,0.522327256198941,0.000340966626612834,0.862446062383501,0.68723227441552,0.0011737036315405,0.936716988544993
"Prpf31",15.7297965300215,29.1310310206313,0.0299934968443742,7.33370969439729e-05,6.84709359179962e-08,0.862506866905035,0.000503817095601022,3.89606883776499e-07,0.936716988544993
"Crispld2",9.77638124142366,3.30919606800457,0.02980615746222,0.00177039660391424,0.0689092224220579,0.862932667752947,0.00836522785000912,0.132415896021766,0.937069576426308
"Mad2l2",6.4473500963584,1.69618637893789,0.029679807007232,0.0111198514423348,0.192803561345304,0.863220626382491,0.0398626375280316,0.305552184661296,0.937192674395716
"Dnmt1",2.28999716971528,18.5441134566919,0.0296800449729667,0.130227112829781,1.66865395946666e-05,0.863220083454783,0.273623068619253,7.09916372768605e-05,0.937192674395716
"Eef1e1",13.742226056543,4.52484787649785,0.0297145324157672,0.000210294020878641,0.0334191363198178,0.863141422750953,0.00129004366407953,0.0717722528885071,0.937192674395716
"Fanca",1.53141923033606,3.0584733321291,0.0295886154728419,0.21591515500499,0.080333556660006,0.86342884851143,0.390397680332961,0.15052493168444,0.937325798028098
"Grik4",0.00424832528913407,0.116280719440395,0.0295621678716318,0.948032038043529,0.733107734353025,0.863489299406274,0.972746575623786,0.809470058400706,0.937325798028098
"Pcdhga3",0.0105599942517864,7.91321741843339,0.0295496735881873,0.918153103282056,0.00491262422833154,0.863517867089787,0.954857880531577,0.0133223287215936,0.937325798028098
"Asic4",0.149004553709577,1.73320899645154,0.0294971992017103,0.699492868137801,0.188017782560113,0.863637915642988,0.823636931977027,0.299797044515843,0.93732974021696
"Htr1d",2.6260695223192,0.0311282427689122,0.0295067015809608,0.105138564654539,0.859956500614252,0.863616168378676,0.234072488128306,0.902847798239099,0.93732974021696
"Mfng",0.0216125299593399,2.02881487842835,0.0294534634374841,0.883124133489041,0.154357657911343,0.863738056388194,0.935312957388684,0.255919505605516,0.937375247473992
"H2al1m",0.226137211616195,0.108184193464456,0.0293964214838921,0.634408510764631,0.74222464645055,0.863868779082587,0.776547918964689,0.816229152618535,0.937453935545987
"Amz2",0.310616269404581,2.71215300858579,0.0292575392603682,0.577308955313768,0.0996033590164312,0.86418760155795,0.732000480899024,0.179248199624675,0.93773246914823
"Ctxn3",9.34780891264244,36.3800199730233,0.0292339130603207,0.00223568377313898,1.65422075352922e-09,0.864241916079543,0.0102305245236877,1.08240214522881e-08,0.93773246914823
"Gabpb1",2.43504098680197,10.8512421932369,0.029004491800939,0.11866776849642,0.000989135055037905,0.864770514101533,0.256307495264197,0.00312314544926968,0.938242796697008
"Srsf3",1.57868854876331,9.52062365157762,0.0289247709933828,0.208965442821377,0.00203473073534986,0.864954698190622,0.381342987959273,0.00605978713359326,0.938379404767472
"Kcnb2",0.863370314934785,0.262840074312938,0.0284642218041053,0.352809279485477,0.608181739652647,0.866023884192436,0.535485072077218,0.711688870985144,0.938590833702436
"Trpv4",0.144617294529079,1.48424344810077,0.0287860137888637,0.703737603015072,0.223127191930493,0.865275901795705,0.826209289978981,0.343205384626681,0.938590833702436
"Cand2",0.579436330494366,0.15603967112702,0.0284774992109116,0.446542974860337,0.692833702313817,0.8659929360552,0.622623735749935,0.778338294150928,0.938590833702436
"Leng1",15.4665087736627,0.786717047784332,0.0286573315803728,8.42840753839802e-05,0.375106110143833,0.865574495742409,0.00056978441054082,0.500732296414336,0.938590833702436
"Zfp446",0.00248973094111593,0.66722602180841,0.0286345794082625,0.960204840186196,0.414030855241353,0.865627361533958,0.979238666340615,0.539107209666977,0.938590833702436
"Tmem126b",0.0005732460103973,0.419154031334583,0.0286773817169233,0.980898685105078,0.517367440523439,0.865527926154826,0.990618471385831,0.634031042218336,0.938590833702436
"Ypel3",161.045231333992,28.118010949192,0.0287625591612671,9.4914531228725e-37,1.15439841776344e-07,0.865330274623961,1.03973380705861e-34,6.44565801707514e-07,0.938590833702436
"Grk1",2.36943302665358,0.740000654179888,0.0286128461759902,0.123748955115229,0.389671731196337,0.86567787994701,0.264007607872356,0.515574814262948,0.938590833702436
"Elac2",0.00014935917228034,1.03491988130134,0.0285263822192187,0.990249219615767,0.309019126007609,0.865879059178809,0.995504006959214,0.438316798226938,0.938590833702436
"Kif18b",0.0115220233883538,0.339679116167355,0.0285160687311437,0.914519861417708,0.560021550220149,0.865903076916112,0.953321495306398,0.671283833794481,0.938590833702436
"Tbcd",10.423392507601,1.57417172387166,0.0286613607643553,0.00124644389550462,0.20961794070699,0.865565135985388,0.00615312263927373,0.326290739410793,0.938590833702436
"Ltbp2",3.81083800298735,0.480734106897109,0.0285442844584583,0.0509369167570471,0.488098622606567,0.865837379589394,0.136418726739746,0.607595247358809,0.938590833702436
"Mcat",0.926013093556209,2.51545248367742,0.0284956119970637,0.335913549214433,0.112752231163918,0.865950729157413,0.518670618755394,0.198561808664979,0.938590833702436
"Gata6",1.65804718288973,6.79440028726486,0.0284943183797969,0.19788318029661,0.00915170027980634,0.865953743121339,0.367121426350551,0.0232423076437372,0.938590833702436
"mt-Nd6",0.087971177235518,34.0180537667269,0.0286211868914471,0.766775707776241,5.55060026198381e-09,0.865658489807383,0.866544264321763,3.48329368740161e-08,0.938590833702436
"Mtfr1l",2.33929229800081,0.000331693639970785,0.0282997943738813,0.126163818878959,0.985469558847345,0.866407762892031,0.267775929274795,0.989586948498303,0.938880498374857
"Zfp185",9.84572849087774,22.3301522789743,0.0283202387170854,0.00170491713516288,2.31248673237395e-06,0.86635997041026,0.00811296708851294,1.11025563063261e-05,0.938880498374857
"S100a7a",2.73972020429501,4.97775703921133,0.028146959604642,0.0978987365295135,0.0256870961599997,0.866765606588892,0.222005823733947,0.0572590406235431,0.939121672921753
"Fbxl8",2.21890777143928,0.136016090763491,0.0281300413003209,0.136346393645038,0.712278314006499,0.866805280049432,0.28308225591362,0.793437661038973,0.939121672921753
"Phyhip",0.746143422950769,0.0199531659796117,0.0281569227702523,0.387711113018877,0.887669490224904,0.866742248678941,0.568737195349115,0.923453827837175,0.939121672921753
"Rgma",0.126619250261271,23.790357587928,0.0280307939679487,0.721967422676105,1.08304929474829e-06,0.867038262692476,0.837415645563157,5.43253144678779e-06,0.939310895057652
"Ralgds",171.682579832485,126.308288552349,0.0278513918683011,4.72377219057545e-39,3.26824993319796e-29,0.867460486761085,6.08535228678691e-37,6.14103018369739e-28,0.939605465254855
"Ppig",0.0261540120659183,10.0273660467294,0.0278161610085839,0.871526515206546,0.00154479878013476,0.867543566876307,0.928535920918799,0.00470866832415485,0.939605465254855
"Plin1",0.663714370506773,1.48919660126011,0.0278658494838876,0.415262092456175,0.222356589776644,0.867426408975118,0.593658156500514,0.342379820727989,0.939605465254855
"Pts",33.2740815400363,60.1598606762534,0.027835176528059,8.13098417775543e-09,9.19445202222562e-15,0.867498718466384,1.14753057155474e-07,8.71443560411413e-14,0.939605465254855
"Psmf1",0.459720138052778,17.0178129336803,0.0276038900068411,0.497763211421809,3.71914207991426e-05,0.868045284995764,0.666789867192862,0.000150060999531093,0.939703117225747
"Rnf114",16.0915192560647,8.40309371572505,0.0276202195741384,6.05891281132907e-05,0.00375019799214066,0.868006618629409,0.000424572119237737,0.0104842774769863,0.939703117225747
"Ptx3",0.114464691647319,1.99787961474013,0.0275866081226178,0.735121109480094,0.157536126411003,0.868086219131953,0.84584889074369,0.260051690783842,0.939703117225747
"Sh2d5",1.94204479465797,1.14175763421006,0.0276768481686732,0.163463298520499,0.285295072676828,0.867872620138043,0.323077070839977,0.415643404986425,0.939703117225747
"Samd4",4.7289110582043,3.8121055850968,0.0275430121012512,0.029672188931043,0.0508983934447748,0.868189539915577,0.0887630054535735,0.102811945514452,0.939703117225747
"Lgals1",5.90254222728475,0.469081304916786,0.0276954177326652,0.0151284279543081,0.493418630253738,0.867828710230849,0.0513518286990352,0.61194702733949,0.939703117225747
