"gene","Genotype.statistic","Diet.statistic","Genotype:Diet.statistic","Genotype.p.value","Diet.p.value","Genotype:Diet.p.value","Genotype.p.adj","Diet.p.adj","Genotype:Diet.p.adj"
"P2rx5",6.8931402311974e-06,1.86167041100824,0.0356008649696205,0.997905184030668,0.172438478782955,0.850342918024216,0.998674085521801,0.242864161906218,0.911957664312382
"Zfp667",41.3973124236023,37.4009422274665,0.0354320703692558,1.25385091081755e-10,9.6909768613624e-10,0.850693944071361,9.88325969751929e-10,3.45845275975435e-09,0.91205014672965
"Hes6",33.0611570736282,249.902629396201,0.0353788638988538,8.98408398107442e-09,3.7705627081647e-56,0.850804771889563,5.83768203432927e-08,5.43608938891026e-55,0.912108889682304
"Lat",7.0817902799384,1.07862885589978,0.0353384421439211,0.00778968694393092,0.299009681481781,0.850889027137196,0.0200780260310948,0.384407281058285,0.912139139535837
"Nell1",0.000985010397811318,0.0122098662902332,0.0352990642915153,0.974962732387513,0.912014684950246,0.850971154458691,0.983782890853993,0.934520807487262,0.91216710445335
"Stmn4",0.00860464290861709,0.183182227525402,0.0352192222980385,0.92609364843681,0.668654532410147,0.851137820379635,0.953096047061909,0.735881664911424,0.912285677750515
"Dse",0.374860682824002,0.55802577642947,0.0351460009703055,0.540369504128888,0.455060411651327,0.851290838013828,0.66351798572012,0.53920203249972,0.912389607582214
"Pabpc1l",10.7060904719559,1.27465376286178,0.0350699689449522,0.00106858175560351,0.258901045359126,0.851449904152391,0.00332061101725076,0.342111732043391,0.91243992954694
"Med10",0.32177501112908,54.2662165992424,0.0350942825463398,0.570545506892328,1.77866790416389e-13,0.851399018420013,0.689031697261198,7.88865871282716e-13,0.91243992954694
"Il10",0.484018040280706,0.938311908136585,0.0349893245262861,0.48661126508398,0.332717194789551,0.851618815017912,0.615285602561325,0.420468771707261,0.912440722225286
"Sema3g",0.0181993240841365,0.000468160561023508,0.0350000530132895,0.892687649664338,0.982737593300654,0.851596332441347,0.930063453050015,0.986860374246082,0.912440722225286
"Gypc",1.72933740805922,0.0738850326028045,0.0350211742259905,0.188501769466213,0.785763113021004,0.851552081327803,0.30490343849762,0.833518437146331,0.912440722225286
"Abcg8",23.1684652455122,242.528775724838,0.0348794192347292,1.4885821084712e-06,1.49945147401544e-54,0.851849337897858,7.38033840377269e-06,2.10583016760563e-53,0.912619593138342
"Rbbp8",3.61089428720064,23.6948246907156,0.0348562899181657,0.0574081814761476,1.13240729149435e-06,0.851897898761686,0.115590421806934,3.27159983735418e-06,0.912619593138342
"Lamtor3",33.7350257759332,0.201768831362639,0.034779484181288,6.35473504766771e-09,0.653298880044644,0.85205927499803,4.19878398568856e-08,0.722843169770013,0.912713209340527
